BAscore,abv,beer_id,beer_img,beer_name,beer_style,brewery,desc,num_reviews,ranking
4.01,6.20,11,https://cdn.beeradvocate.com/im/beers/110602.jpg,Spiteful IPA,American IPA,Spiteful Brewing,"Current can (2014) says: ""A delightful India Pale Ale brewed with Amarillo hops.""This IPA is short and sweet:A wonderful India Pale AleBrewed with El Dorado hops.",36,8981
3.49,6.10,12,https://cdn.beeradvocate.com/im/beers/81301.jpg,Category 3 IPA,American IPA,Due South Brewing Co.,None provided.,38,41902
3.91,7.00,13,https://cdn.beeradvocate.com/im/beers/73550.jpg,Invasion IPA,American IPA,Mikkeller ApS,Batches have been brewed at both Drake's in CA and Mercury in MA.,54,15236
3.59,7.50,14,https://cdn.beeradvocate.com/im/beers/149689.jpg,Stacy's Mom,American IPA,Evil Genius Beer Company,All Citra Hopped IPA ,39,38295
3.82,6.50,15,https://cdn.beeradvocate.com/im/beers/3064.jpg,India Pale Ale,American IPA,Moylan's Brewery,None provided.,247,22095
3.65,5.70,16,https://cdn.beeradvocate.com/im/beers/94003.jpg,Beyond The Pale,American IPA,Stevens Point Brewery,None provided.,38,34915
3.58,6.40,17,https://cdn.beeradvocate.com/im/beers/10731.jpg,Third Eye P.A.,American IPA,Steamworks Brewing Co.,None provided.,119,38734
3.64,7.20,18,https://cdn.beeradvocate.com/im/beers/57940.jpg,Coulter IPA,American IPA,Cismontane Brewing Company,None provided.,52,35516
3.91,7.80,19,https://cdn.beeradvocate.com/im/beers/75082.jpg,Irie IPA,American IPA,Tighthead Brewing Company,"A malty and complex IPA which supports the generous amounts of Chinook, Centennial, and Colombus hops. American Ale Yeast ferments this beer cleanly allowing the dank hop qualities to shine through.",19,15139
3.97,7.00,20,https://cdn.beeradvocate.com/im/beers/249157.jpg,Axis IPA,American IPA,Real Ale Brewing Company,None provided.,31,11349
3.68,7.20,21,https://cdn.beeradvocate.com/im/beers/63770.jpg,Tenaya Creek Hop Ride IPA,American IPA,Tenaya Creek Brewery,"Our Hop Ride India Pale Ale is medium bodied and aggressively hopped using a technique called 'dry-hopping' which adds a nice delicate citrus aroma. Combine that with Magnum & Summit hops to kick up the bitterness, and Cascade hops for a floral boquet. You get a well balanced and very drinkable American IPA. We live in Las Vegas and enjoy the areas beyond the reach of the neon. Bootleg Canyon MTB Park is one of those places. Be Warned, the rattlers have just as much bite as this ale. If you want to ride there, its going to be a ""hop ride.""",59,32964
3.81,7.00,22,https://cdn.beeradvocate.com/im/beers/122674.jpg,Hop Odyssey: White IPA,American IPA,Green Flash Brewing Co.,"While developing the recipe for our White IPA, we lined up malted wheat and more than a dozen hop varieties to select the three hops with the most citrus character: Simcoe, Amarillo and El Dorado. A citrus hop explosion leaps from the glass with big tangerine aromas up front, while hop flavors of bitter orange zest dominate and linger to the finish.",24,23018
3.8,6.20,23,https://cdn.beeradvocate.com/im/beers/91576.jpg,3C IPA,American IPA,Triple C Brewing Co.,"Packed full of hop flavor with a lighter malt body, this American IPA showcases Citra, Centennial and Chinook hops. Citrus, Grapefruit and Passionfruit dominate the nose and tongue in this hop bomb. Brewed on a limited basis because of short supply of it's namesake hops.",24,23815
3.88,7.00,24,https://cdn.beeradvocate.com/im/beers/263927.jpg,Evil Twin / Omnipollo - Old Fashioned Lemonade IPA,American IPA,Evil Twin Brewing,"Collaboration with OmnipolloA refreshing drink often associated with childhood nostalgia to others a pop-cultural symbol of emancipation. Whatever the association we teamed up with good old Swedes, Henok and Karl of the fashionable Omnipollo to squeeze out a tasty, tempting and deceivingly well balanced IPA with sweet and sour notes of old-fashioned memories. Perhaps you can taste the dishonesty, it's all over your breath -it's Lemonade.",50,17359
3.83,7.50,25,https://cdn.beeradvocate.com/im/beers/85569.jpg,Arbor Brewing Buzzsaw Ale,American IPA,Arbor Brewing Company,None provided.,24,21342
3.85,6.60,26,https://cdn.beeradvocate.com/im/beers/88857.jpg,667 Neighbor Of The Beast,American IPA,The Lone Pint Brewery,None provided.,15,19743
3.83,6.30,27,https://cdn.beeradvocate.com/im/beers/45068.jpg,Slab Cabin IPA,American IPA,Otto's Pub and Brewery,A classic American IPA with lots of floral punch and assertive hop presence. Brewed with Nugget and Amarillo hops. Reddish in color thanks to Munich and Aromatic malts.,65,21343
4.22,6.50,28,https://cdn.beeradvocate.com/im/beers/134399.jpg,Amager / Surly - Todd The Axe Man,American IPA,Amager Bryghus,None provided.,47,2418
3.86,7.50,29,https://cdn.beeradvocate.com/im/beers/73440.jpg,Other Side IPA,American IPA,Greenport Harbor Brewing Company,"A blend of North American pale, light Munich, light crystal, and carapils malts provide a light malty backbone to balance healthy kettle and dry-hops additions of Cascade, Centennial, and Columbus. Hoppy yet balanced, our latest Project Hoppiness offering is our nod to the beers we love from the other coast. “Winner of the Brooklyn Mystery IPA Challenge.”",38,18935
3.94,7.00,30,https://cdn.beeradvocate.com/im/beers/204538.jpg,MegaBoss IPA,American IPA,Newburgh Brewing Company,"“Mega Boss” (adj): meaning ‘radical’ or ‘awesome’ or ‘super duper’3 years after we opened in 2012, we really think this whole IPA thing might be taking off…So we bring you “MegaBoss IPA”, our American IPA loaded with 8 different hop varieties, showcasing some of our favorite IPA things: a rich pineapple & tropical fruit aroma, with a flavor profile that very much follows that aromatic start, concluding with a lemon & herbal hop finish.At 7.0% ABV, it’s incredibly smooth & easy-drinking, with a bitterness that never overpowers the wonderful flavors from the many hops. An IPA to be enjoyed over & over again.",38,13077
3.89,8.00,31,https://cdn.beeradvocate.com/im/beers/78043.jpg,Tiger Baby: Open Windows Open Hills,American IPA,Mikkeller ApS,"Named after a Danish elelctro pop group Tiger Baby and its third album 'Open Windows Open Hills'. To celebrate the release Mikkeller and Tiger Baby brewed a special 'Open Windows Open Hills'-IPA, which matches the melancholic pop songs.",43,16650
4.4,7.00,32,,Hopfather,American IPA,Russian River Brewing Company,None provided.,49,563
3.85,6.50,33,https://cdn.beeradvocate.com/im/beers/93938.jpg,Irregardless IPA,American IPA,Liquid Hero Brewery,None provided.,27,19742
4.16,7.60,34,https://cdn.beeradvocate.com/im/beers/174108.jpg,Hop Test #1 (Murren River),American IPA,Al's of Hampden / Pizza Boy Brewing,None provided.,24,3646
3.6,6.40,35,https://cdn.beeradvocate.com/im/beers/32932.jpg,Kiss The Lips IPA,American IPA,Lake Louie Brewery Company,None provided.,92,37746
3.6,7.50,36,https://cdn.beeradvocate.com/im/beers/89046.jpg,Rams Head IPA,American IPA,Fordham Brewing Company,None provided.,21,37748
3.68,6.80,37,https://cdn.beeradvocate.com/im/beers/108498.jpg,Hopstillo IPA,American IPA,Broad Brook Brewing Company,None provided.,25,32975
3.66,6.90,38,https://cdn.beeradvocate.com/im/beers/99083.jpg,Worthy IPA,American IPA,Worthy Brewing Co.,None provided.,34,34387
3.68,6.00,39,https://cdn.beeradvocate.com/im/beers/241737.jpg,Hopflake White IPA,American IPA,Boston Beer Company (Samuel Adams),"Light golden with a distinct floral and honey aroma, this wheat IPA is lively and bright. Bold, citrusy hops and a slightly sweet maltiness make this an easy-drinking yet full-flavored brew",52,32978
3.85,7.00,40,https://cdn.beeradvocate.com/im/beers/261194.jpg,Husky IPA,American IPA,Alaskan Brewing Co.,Alaskan Husky IPA is based on a small batch SMaSH Mosaic IPA recipe using a single malt and single hop to explore the specific desired characteristics of certain malts and hops. Hop varieties are often best known for either bittering properties or for high aromatics and complex flavors. The Mosaic hop is an example of a hop that can bring both elements to a beer.INGREDIENTS:Alaskan Husky IPA is made from glacier-fed water and features Mosaic hops and premium Pilsen malt.SPECIFICATIONS:Original Gravity: 1.060Bitterness: 50 IBU,49,19739
3.62,6.00,41,https://cdn.beeradvocate.com/im/beers/17593.jpg,Cape Cod IPA,American IPA,Cape Cod Beer,None provided.,55,36717
3.83,7.10,42,https://cdn.beeradvocate.com/im/beers/90192.jpg,Long Leaf IPA,American IPA,Appalachian Mountain Brewery,"Born and raised in the Old North State, this beer is a collaboration between the floral English and the citrusy American style IPA. Underneath a white frothy head, these plentiful hop flavors balance on the see-saw of a medium-bodied malty backbone. It all comes together and leaves you with a subdued lingering bitterness, so raise a toast to North Carolina, the land of the Long Leaf Pine! ",30,21335
3.32,6.20,43,https://cdn.beeradvocate.com/im/beers/27168.jpg,Presidential IPA,American IPA,Diamond Bear Brewing Company,"Malt Varieties - 2 Row Pale, Caramel 40, CarapilsHop Varieties - Goldings, Cascade, Fuggles, AmarilloOriginal Gravity - 15.3*PBitterness Units - 57Packaging Options - 12oz Bottles, 1/2bbl, 1/6bbl",83,44827
3.31,5.80,44,https://cdn.beeradvocate.com/im/beers/58652.jpg,Pegasus IPA,American IPA,Argus Brewery,"A prominent to intense hop aroma with a citrusy, floral and/or fruity character derived from American hops. Color ranges from medium gold to medium reddish copper. Medium-high to very high hop bitterness, although the malt backbone will support the strong hop character and provide the best balance. A decidedly hoppy and bitter, moderately strong india pale ale.",35,44930
4.21,6.50,45,https://cdn.beeradvocate.com/im/beers/123878.jpg,Galaxy IPA,American IPA,Other Half Brewing Co.,None provided.,34,2572
4.03,5.00,46,https://cdn.beeradvocate.com/im/beers/119074.jpg,Drift,American IPA,Brothers Craft Brewing,None provided.,27,8220
3.97,7.00,47,https://cdn.beeradvocate.com/im/beers/84735.jpg,Ambrewsia,American IPA,Brewmaster Jack,None provided.,35,11299
3.84,7.00,48,https://cdn.beeradvocate.com/im/beers/93311.jpg,Native IPA,American IPA,Foley Brothers Brewing,None provided.,30,20458
3.85,7.00,49,https://cdn.beeradvocate.com/im/beers/100539.jpg,Belt & Suspenders,American IPA,BuckleDown Brewing,"Loads of Crystal and Sterling hops lead the way in producing huge citrus and pine aromatics. Hoppiness is supported with a clean, slightly biscuity malt backbone.",32,19702
4.34,7.50,50,,Jai Alai IPA - Peach,American IPA,Cigar City Brewing,None provided.,37,954
3.59,6.70,51,https://cdn.beeradvocate.com/im/beers/91794.jpg,Stonefly IPA,American IPA,Saucony Creek Brewing Company + Gastropub,"Stonefly IPA has been refreshed with the addition of Citra Hops and introduction of a new dry-hopping process we call Alle Zeit Hopfen. A new dry-hopping contraption we custom built called HopfenKubel that we designed to slowly release dry-hops continuously for 48 hours into the fermentation tank. This will allow more surface contact time with the hops and beer fully maximizing the aroma and flavors from the hops. The addition of Citra Hops deliver a spicy, floral, strong citrus and tropical tone of grapefruit, melon, lime, gooseberry, passion fruit and lychee. Stonefly IPA will continue to support the efforts of the Schuylkill Action Network and donate a portion of proceeds to the Berks Watershed Restoration Fund to protect the source waters and health of the Schuylkill River watershed.",34,38260
3.78,7.20,52,https://cdn.beeradvocate.com/im/beers/208392.jpg,Hop Cooler,American IPA,Ninkasi Brewing Company,"Bright and tropical, this India Pale Ale brilliantly layers a citrusy blend of orange and tangerine with a robust hop profile. Crafted with real citrus and packed with as much flavor as a hop cooler, you won’t be able to stop at just one sip of this fresh and fruity beer.",46,25478
3.57,6.30,53,https://cdn.beeradvocate.com/im/beers/58340.jpg,Northern Liberties IPA,American IPA,Christian Moerlein Brewing Company,None provided.,54,39205
3.83,4.80,54,https://cdn.beeradvocate.com/im/beers/188563.jpg,Steady Rollin' Session IPA,American IPA,Great Lakes Brewing Co.,"Refreshing and light-bodied with bright grapefruit and passionfruit aromas. Brewed with Harrington 2-Row Base Malt, Crystal 45 Malt, Mosaic Hops. ",43,21333
4.08,5.90,55,https://cdn.beeradvocate.com/im/beers/154690.jpg,A Pale Mosaic,American IPA,Hops and Grain Brewery,None provided.,36,6109
4.1,7.10,56,https://cdn.beeradvocate.com/im/beers/102922.jpg,Sticky Icky Icky,American IPA,Short's Brewing Company,"Sticky Icky Icky is a radiantly clear, copper-colored American India Pale Ale. It is loaded with citrusy hop aromas of oranges, nectarines, and apricots. This light, yet full bodied ale is perfectly balanced by equal parts sweet malt and juicy hops. A medium bitterness along with a subtle earthiness lingers in the finish.This new American India Pale Ale is what Ryan Hale, the head brewer at the Bellaire pub, referred to as his quintessential IPA. Ryan combined all of his favorite hops resulting in what he described as “pure juicy goodness”. This beer is loaded with all of the big citrus and fruity flavors American hops can offer.",36,5354
3.69,7.00,57,https://cdn.beeradvocate.com/im/beers/84463.jpg,Misty Mountain IPA,American IPA,Back East Brewing Company,"Misty Mountain is a great example of the American-style India Pale Ale synonymous with Craft Beer. Originally brewed for sailors on shipping routes between England and India, British IPAs are known for their strong hop bitterness, which were added as a preservative for the long voyage. The American adaptation is decidedly stronger and offers a more robust hop bite. Back East IPA is no exception. This assertively hopped beer has a great hoppy aroma, crisp hop bite, and smooth medium body.",29,32339
3.49,6.40,58,https://cdn.beeradvocate.com/im/beers/22947.jpg,Paleo IPA,American IPA,North Country Brewing,None provided.,46,41799
3.53,7.00,59,https://cdn.beeradvocate.com/im/beers/47892.jpg,Aooni India Pale Ale,American IPA,Yo-Ho Brewing Company,None provided.,65,40684
3.67,6.20,60,https://cdn.beeradvocate.com/im/beers/102465.jpg,Arcus India Pale Ale,American IPA,Big Storm Brewing Company - Odessa,"A bronze medalist at the 2017 Best Florida Beer competition, our IPA rolls in with an intense citrusy hop aroma. Arcus is brewed with two-row Canadian barley and Mosaic hops. The addition of wildflower honey from Pasco County lends a balancing sweetness for a clean finish.",31,33665
4.04,6.80,61,https://cdn.beeradvocate.com/im/beers/131728.jpg,Crikey,American IPA,Reuben's Brews,None provided.,45,7745
3.62,6.90,62,https://cdn.beeradvocate.com/im/beers/60023.jpg,NorCal IPA,American IPA,Moylan's Brewery,None provided.,68,36735
3.57,6.40,63,https://cdn.beeradvocate.com/im/beers/135686.jpg,Slope Style Winter IPA,American IPA,Boulder Beer / Wilderness Pub,None provided.,34,39208
4.09,7.20,64,https://cdn.beeradvocate.com/im/beers/78924.jpg,Far Out IPA,American IPA,Bootlegger's Brewery,"The Galaxy hops from Australia give it a funkadelic tropical fruit aroma, and the balance between the malt and hops is wicked. You’ll want to bogart this one because every sip keeps you wanting more, and at 7% alc by vol, this IPA will have you talking jive in no time. It’s going to be difficult not to dig this beer, because it’s far out, man.",26,5708
3.88,6.20,65,https://cdn.beeradvocate.com/im/beers/274214.jpg,Know Good IPA,American IPA,Sierra Nevada Brewing Co.,None provided.,56,17318
4.22,6.50,66,https://cdn.beeradvocate.com/im/beers/265600.jpg,Headway,American IPA,Counter Weight Brewing Company,An aromatic and flavorful IPA . Headway gets its pronounced aroma and juicy flavor from four different varieties of American hops. A backbone of blended malt lends rounded support to let its expressive hop character shine through. This inaugural beer should be consumed fresh in the company of friends.,46,2388
3.68,6.50,67,https://cdn.beeradvocate.com/im/beers/85241.jpg,Newport Storm India Point Ale,American IPA,Newport Craft Brewing & Distilling Co.,"After 13 years of brewing excellence, we deemed it time to produce a year round IPA style. Because a well made, well balanced IPA is a work of art, we took our time with this one and added our own local spin onto it. First we needed a substantial malt backbone to not only create the 6.5% abv, but to compliment later lupulin additions. Heavy doses of Munich Malt and Cara malt help to add body, mouthfeel and a touch of sweetness. Canadian wheat malt also lends to the great foam and head retention. 5 different hops are added at 7 different times in this brew, and the majority of the massive, complicated, but delightful hop profile is derived from Columbus and Cascade hops from the kettle boil (bittering, flavor, and aroma additions). The real icing on this masterpiece, however, comes from literally searching the near and far: Brewmaster Derek Luke married Annie Sherman, a Kiwi citizen in late 2011, visiting New Zealand for their honeymoon. Upon return, Derek came back raving of the legendary Motueka hop. Craving to satiate the “near and far desire”, this hop is added in conjunction with Chinook hops grown right here in RI from Ocean State Hop farms during the lengthy dry hopping process. The result: A fantastic IPA 100% produced locally with local hops, yet worldly in its own right!",32,33006
3.93,5.50,68,https://cdn.beeradvocate.com/im/beers/91019.jpg,Dulachan,American IPA,Lavery Brewing Company,None provided.,37,13729
3.84,5.50,69,https://cdn.beeradvocate.com/im/beers/103939.jpg,Wayfarer,American IPA,Green Man Brewery,None provided.,32,20451
4.11,6.80,70,https://cdn.beeradvocate.com/im/beers/258479.jpg,Silent Disco,American IPA,Funk Brewing Company,None provided.,46,4990
3.34,7.00,71,https://cdn.beeradvocate.com/im/beers/47271.jpg,Lilja's Hop Nest Monster,American IPA,Sand Creek Brewing Company,Nest is NOT a typo.,105,44590
3.82,6.60,72,https://cdn.beeradvocate.com/im/beers/50544.jpg,Hops Of Wrath,American IPA,Dust Bowl Brewing Company - Downtown Taproom,"""Hops of Wrath is an India Pale Ale with moderate bitterness and a solid malt backbone. It has a fruity, citrus aroma, bright hop flavor and clean finish at 6.6% abv.""",47,22198
3.85,6.50,73,https://cdn.beeradvocate.com/im/beers/87103.jpg,51/50 IPA,American IPA,Ironfire Brewing Company,"With its pungent and dank hop flavor, 51/50 IPA isn't for those looking for a ""balanced"" beer. Classic San Diego style IPA with minimal malt flavor so the hops shine through. Why call it 51/50? Because we have to be crazy to put this amount of hops in a beer.",26,19696
4.24,7.20,74,https://cdn.beeradvocate.com/im/beers/293714.jpg,Farnsworth Street IPA,American IPA,Trillium Brewing Company,"We're so excited about our future Fort Point expansion that we had to make a new beer! Farnsworth Street IPA is the latest addition to our Street series of IPA's. With the same base recipe as our other street beers, we dosed Farnsworth with a new (to Trillium) hop: Vic Secret. Melon, orange, and a hint of zesty pine on the nose are followed by crisp, palatable flavors of orange creamsicle, pineapple, and cantaloupe. A dry finish and moderate carbonation round out Farnsworth Street. Cheers to our Fort Point roots and continuing to grow them...this is one of many fun updates to come!MALT: American 2-row Barley, White Wheat, C-15, Dextrine, DextroseHOPS: Vic Secret, CTZ",25,2064
3.85,7.00,75,https://cdn.beeradvocate.com/im/beers/112953.jpg,Fever Dream Mango Habanero IPA,American IPA,Flying Dog Brewery,"Jim and Pam. Forest and Jenny. Snoop and Mary Jane. For our brewers, that couple that makes us all weak in the knees is Mango and Habanero. The combination of sweet mango and bold habanero pepper has always been a favorite in casks of Raging Bitch Belgian-Style IPA, which inspired one brewer in particular to pitch a Mango Habanero IPA for our Brewhouse Rarities series. Brewhouse Rarities Mango Habanero IPA was released in February 2014 and flew off the shelves faster than we could brew it. We’re no psychics, but we took that as a sign that you wanted more. And after running it as a tasting room throwback late last year, our imaginary crystal ball was clear that this Mango Habanero IPA was ready to graduate to our year-round roster. Giving it a name that invokes the feeling of conquering an invading tribe, we now bring you Fever Dream.Fever Dream showcases a beautiful trifecta of fruit, heat and tropical fruit-forward hops. The balance of spicy and sweet that has been expertly dialed in, with the heat factor falling into the category where you can enjoy a few pints, rather than just one. We recommend trying this with your favorite Thai foods and curry, or on it’s own if food isn’t your thing.",48,19695
4.15,7.00,76,https://cdn.beeradvocate.com/im/beers/238119.jpg,Higher Burnin',American IPA,LIC Beer Project,"El Dorado, Belma, and Mosaic hops and 4 different malts.Higher Burnin' is brewed in celebration of the late 5 Pointz: NYC's graffiti mecca. This IPA is hazy, bright orange in color with aromatics of juicy fruit, strawberry, & nectarine. Orange marmalade and candied citrus flavors emerge with a subtle piney bitterness, finishing long, lush and dry.",38,3846
3.71,6.80,77,https://cdn.beeradvocate.com/im/beers/59883.jpg,Rocket Science IPA,American IPA,Fullsteam Brewery,None provided.,33,30940
3.77,7.30,78,https://cdn.beeradvocate.com/im/beers/200610.jpg,Samuel Adams Rebel Cascade IPA,American IPA,Boston Beer Company (Samuel Adams),None provided.,58,26545
3.3,6.50,79,https://cdn.beeradvocate.com/im/beers/94115.jpg,Kentucky IPA,American IPA,Alltech's Lexington Brewing and Distilling Co.,None provided.,37,45053
3.79,7.00,80,https://cdn.beeradvocate.com/im/beers/61017.jpg,Populist,American IPA,Eagle Rock Brewery,None provided.,48,24656
3.67,6.50,81,https://cdn.beeradvocate.com/im/beers/94710.jpg,So Folkin' Hoppy IPA,American IPA,The Funky Bow Brewery & Beer Company,None provided.,32,33671
3.88,6.80,82,https://cdn.beeradvocate.com/im/beers/33930.jpg,Centennial Single Hop IPA,American IPA,Mikkeller ApS,None provided.,103,17315
3.59,4.50,83,https://cdn.beeradvocate.com/im/beers/92458.jpg,Sessions IPA,American IPA,The Schlafly Tap Room,"Our IPA is a session IPA, a smooth golden ale packed with the bold flavor and aroma of American hops. We crafted it in the spirit of the low gravity IPAs common in the UK where the style stands for hoppy, not heavy.India Pale Ales (IPAs) were first brewed in England during the late 1700s for export overseas to British soldiers in India. To keep their beer from spoiling during the long voyage, English brewers fortified their traditional pale ale recipes with hops as a natural preservative. Today, the term IPA is used for many full flavored beers along a wide array of recipes.﻿",38,38271
3.83,6.80,84,https://cdn.beeradvocate.com/im/beers/61137.jpg,Hundred Yard Dash Fresh Hop Ale,American IPA,Brau Brothers Brewing Co. LLC,None provided.,72,21317
3.97,7.00,85,https://cdn.beeradvocate.com/im/beers/147280.jpg,Sex And Candy,American IPA,18th Street Brewery - Gary Taproom,"Fruity and faintly sweet, Sex and Candy is simply a dream. The enticing smell of Chinook and Cascade hops waft forth from this IPA.",27,11267
3.76,7.50,86,https://cdn.beeradvocate.com/im/beers/64897.jpg,Overbite IPA,American IPA,Old Forge Brewing Company,"An American IPA with big malt character giving perfect balance to the abundance of Pacific Northwest hops. Hopheads won't be disappointed. This beer was released for our 1st Anniversary celebration at the pub, then quickly became a year round favorite (cans and draft) 7.5% alc by vol. and ~75 IBU's Initial release: 12/5/2009",34,27185
3.34,5.00,87,https://cdn.beeradvocate.com/im/beers/13812.jpg,IPA,American IPA,Rock Art Brewery,"A light copper body low bitterness with good hop flavor. This is my impression of what the English troops may have been drinking when they occupied India. The pale ale they drank had mellowed considerably. The wooden casks had spent many months traveling on ships and long inland journeys to the troops, where they were then tapped and enjoyed.",74,44608
3.99,7.00,88,https://cdn.beeradvocate.com/im/beers/164659.jpg,Tasmanian Hatter,American IPA,New Holland Brewing Company,"Tasmanian Hatter brings you flavors from the region of the Tasman Sea. Galaxy hops for Australia and Nelson Sauvin from New Zealand combine with Mosaic from the Pacific Northwest to present bright, tropical flavors of mango and citrus beautifully framed with biscuity malt character. Pairings: grilled seafood, unagi and lamb.",40,10164
3.35,7.00,89,https://cdn.beeradvocate.com/im/beers/124293.jpg,Bimini Twist IPA,American IPA,3 Daughters Brewing,None provided.,37,44482
3.62,6.80,90,https://cdn.beeradvocate.com/im/beers/154427.jpg,Cranky IPA,American IPA,Stony Creek Brewery,None provided.,27,36742
3.65,6.50,91,https://cdn.beeradvocate.com/im/beers/70232.jpg,Derelicte: Pineapple IPA,American IPA,Odd Side Ales,None provided.,28,34977
3.97,6.50,92,https://cdn.beeradvocate.com/im/beers/204884.jpg,Keeper,American IPA,Castle Island Brewing Co.,"Keeper is our take on a newer class of IPAs that cuts back on brutal bitterness in favor of a deeper hoppiness, while still maintaining the bold aromatics loved by hopheads all around.",34,11261
3.85,7.50,93,https://cdn.beeradvocate.com/im/beers/91705.jpg,Batch No.: 138,American IPA,Knee Deep Brewing Company,"Knee Deep’s Batch 138 India Pale Ale is brewed with three types of C hops and Simcoe, which gives this West Coast IPA an aroma that resembles a cat that has peed in a pine tree. Batch 138 finishes dry and crisp and is sure to leave you in hop euphoria.",28,19672
3.66,7.70,94,https://cdn.beeradvocate.com/im/beers/48719.jpg,Sheephead Ale,American IPA,Brau Brothers Brewing Co. LLC,"Sheephead is a bitter card game. It deserves a bitter beer. Brewed with loads of caramel malt and too many cascade hops, this crimson colored ale straddles the line between a malty amber and tongue bruising IPA. ",80,34405
4.21,6.00,95,https://cdn.beeradvocate.com/im/beers/171204.jpg,One Hop This Time: Citra,American IPA,Night Shift Brewing,100% citra-hopped IPA with tons of tropical fruit and candied citrus flavors.,34,2544
4.19,7.30,96,https://cdn.beeradvocate.com/im/beers/189296.jpg,Tower Station IPA,American IPA,Mother Road Brewery,"Tower Station IPA is an unfiltered IPA that greets you with a copper-orange hue and fluffy white head, releasing aromas of tangerine and pineapple. Pilsner and Pale malts balance hop-derived flavors of grapefruit peel and pine to finish the journey.​​",53,2909
3.81,6.80,97,https://cdn.beeradvocate.com/im/beers/88036.jpg,Pocahoptas,American IPA,Center of the Universe Brewing Company,None provided.,32,23002
3.56,5.20,98,https://cdn.beeradvocate.com/im/beers/56941.jpg,O'Hara's Irish Pale Ale,American IPA,Carlow Brewing Company,"A Contemporary style IPA with an Irish twist. Combining the balance of European IPAs with the generous dry hopping of American pale ales (APAs), this beer is everything an IPA should be and more.Zesty and refreshingly bitter, the finish is long. With a copper tone body topped with a lightly carbonated head, the dry hopping brings an intense aroma and lasting array of fruit and floral notes.",46,39618
3.62,6.40,99,https://cdn.beeradvocate.com/im/beers/7849.jpg,Icky IPA,American IPA,Great Basin Brewing Co.,"Just say “Gimme an Icky!” Named after Nevada’s official state fossil, this beer is made in the India Pale Ale style. Ichthyosaur is accented by a blast of Cascade hops.",43,36746
4.08,7.00,100,https://cdn.beeradvocate.com/im/beers/105321.jpg,Scythe Rye India Pale Ale,American IPA,Burial Beer Co.,None provided.,42,6053
4.13,6.00,101,https://cdn.beeradvocate.com/im/beers/215938.jpg,Hawkbill,American IPA,Burial Beer Co.,"A blade for many a pocket, this IPA displays malt in its most elemental form: Pilsner, Oats, and locally grown and malted rye. Mosaic, El Dorado, and Galaxy hops present a sharp, citrus punch while the addition of Simcoe to the dry hop adds a final piney complexity to this easy sipping, hazy IPA.",39,4376
